Device: cuda, workers=14
Kernel sizes: [3, 5, 7, 9]
Channels: (32, 64)

========== Phase 1: Training Teachers (kernel size sweep) ==========
[teacher_k9] Epoch 30/50 | train=0.9798 | val=0.9862
[teacher_k9] Epoch 31/50 | train=0.9807 | val=0.9645
[teacher_k9] Epoch 32/50 | train=0.9857 | val=0.9882
[teacher_k9] Epoch 33/50 | train=0.9832 | val=0.9803
[teacher_k9] Epoch 34/50 | train=0.9798 | val=0.9842
[teacher_k9] Epoch 35/50 | train=0.9822 | val=0.9842
[teacher_k9] Epoch 36/50 | train=0.9817 | val=0.9822
[teacher_k9] Epoch 37/50 | train=0.9852 | val=0.9842
[teacher_k9] Epoch 38/50 | train=0.9852 | val=0.9862
[teacher_k9] Epoch 39/50 | train=0.9867 | val=0.9842
[teacher_k9] Epoch 40/50 | train=0.9857 | val=0.9822
[teacher_k9] Epoch 41/50 | train=0.9827 | val=0.9546
[teacher_k9] Epoch 42/50 | train=0.9822 | val=0.9862
[teacher_k9] Epoch 43/50 | train=0.9807 | val=0.9803
[teacher_k9] Epoch 44/50 | train=0.9862 | val=0.9862
[teacher_k9] Epoch 45/50 | train=0.9832 | val=0.9842
[teacher_k9] Epoch 46/50 | train=0.9817 | val=0.9803
[teacher_k9] Epoch 47/50 | train=0.9862 | val=0.9822
[teacher_k9] Epoch 48/50 | train=0.9896 | val=0.9684
[teacher_k9] Epoch 49/50 | train=0.9812 | val=0.9645
[teacher_k9] Epoch 50/50 | train=0.9827 | val=0.9862
  Saved: ./models/snn1d_teacher_k9.pt (params=22244, 193.8KB)

========== Phase 2: Training Students (kernel size sweep + KD) ==========
[student_k3] Epoch 1/50 | train=0.4844 | val=0.4536
[student_k3] Epoch 2/50 | train=0.5086 | val=0.4458
[student_k3] Epoch 3/50 | train=0.5200 | val=0.4872
[student_k3] Epoch 4/50 | train=0.5190 | val=0.5030
[student_k3] Epoch 5/50 | train=0.5116 | val=0.4970
[student_k3] Epoch 6/50 | train=0.5353 | val=0.4970
[student_k3] Epoch 7/50 | train=0.5007 | val=0.4911
[student_k3] Epoch 8/50 | train=0.5042 | val=0.4951
[student_k3] Epoch 9/50 | train=0.5249 | val=0.4714
[student_k3] Epoch 10/50 | train=0.5319 | val=0.5365
[student_k3] Epoch 11/50 | train=0.5230 | val=0.4892
[student_k3] Epoch 12/50 | train=0.5363 | val=0.5917
[student_k3] Epoch 13/50 | train=0.5472 | val=0.5148
[student_k3] Epoch 14/50 | train=0.5511 | val=0.5148
[student_k3] Epoch 15/50 | train=0.5674 | val=0.6036
[student_k3] Epoch 16/50 | train=0.5649 | val=0.5819
[student_k3] Epoch 17/50 | train=0.5960 | val=0.6529
[student_k3] Epoch 18/50 | train=0.6528 | val=0.6213
[student_k3] Epoch 19/50 | train=0.6602 | val=0.7061
[student_k3] Epoch 20/50 | train=0.6914 | val=0.7002
[student_k3] Epoch 21/50 | train=0.6805 | val=0.7574
[student_k3] Epoch 22/50 | train=0.7126 | val=0.7791
[student_k3] Epoch 23/50 | train=0.7200 | val=0.7890
[student_k3] Epoch 24/50 | train=0.7857 | val=0.7495
[student_k3] Epoch 25/50 | train=0.8030 | val=0.7653
[student_k3] Epoch 26/50 | train=0.8123 | val=0.8107
[student_k3] Epoch 27/50 | train=0.8183 | val=0.8067
[student_k3] Epoch 28/50 | train=0.8380 | val=0.7751
[student_k3] Epoch 29/50 | train=0.8440 | val=0.8047
[student_k3] Epoch 30/50 | train=0.8523 | val=0.8462
[student_k3] Epoch 31/50 | train=0.8627 | val=0.8422
[student_k3] Epoch 32/50 | train=0.8760 | val=0.8462
[student_k3] Epoch 33/50 | train=0.8879 | val=0.8462
[student_k3] Epoch 34/50 | train=0.8657 | val=0.8521
[student_k3] Epoch 35/50 | train=0.8820 | val=0.8679
[student_k3] Epoch 36/50 | train=0.8736 | val=0.8817
[student_k3] Epoch 37/50 | train=0.8988 | val=0.8836
[student_k3] Epoch 38/50 | train=0.8968 | val=0.8757
[student_k3] Epoch 39/50 | train=0.8914 | val=0.9014
[student_k3] Epoch 40/50 | train=0.9012 | val=0.8797
[student_k3] Epoch 41/50 | train=0.8973 | val=0.8856
[student_k3] Epoch 42/50 | train=0.9062 | val=0.8974
[student_k3] Epoch 43/50 | train=0.9007 | val=0.8935
[student_k3] Epoch 44/50 | train=0.9215 | val=0.8817
[student_k3] Epoch 45/50 | train=0.9141 | val=0.9093
[student_k3] Epoch 46/50 | train=0.9116 | val=0.9014
[student_k3] Epoch 47/50 | train=0.9170 | val=0.9132
[student_k3] Epoch 48/50 | train=0.9254 | val=0.8876
[student_k3] Epoch 49/50 | train=0.9284 | val=0.9211
[student_k3] Epoch 50/50 | train=0.9225 | val=0.9172
  Saved: ./models/snn1d_student_k3.pt (params=7652, 136.8KB)
[student_k5] Epoch 1/50 | train=0.4706 | val=0.4892
[student_k5] Epoch 2/50 | train=0.4958 | val=0.5128
[student_k5] Epoch 3/50 | train=0.5190 | val=0.4320
[student_k5] Epoch 4/50 | train=0.5165 | val=0.5069
[student_k5] Epoch 5/50 | train=0.5146 | val=0.5227
[student_k5] Epoch 6/50 | train=0.5363 | val=0.5286
[student_k5] Epoch 7/50 | train=0.5230 | val=0.5010
[student_k5] Epoch 8/50 | train=0.5254 | val=0.5128
[student_k5] Epoch 9/50 | train=0.5472 | val=0.5286
[student_k5] Epoch 10/50 | train=0.5699 | val=0.6036
[student_k5] Epoch 11/50 | train=0.5881 | val=0.6193
[student_k5] Epoch 12/50 | train=0.6573 | val=0.6095
[student_k5] Epoch 13/50 | train=0.6894 | val=0.7574
[student_k5] Epoch 14/50 | train=0.7338 | val=0.7396
[student_k5] Epoch 15/50 | train=0.7970 | val=0.8028
[student_k5] Epoch 16/50 | train=0.8405 | val=0.8028
[student_k5] Epoch 17/50 | train=0.8657 | val=0.8659
[student_k5] Epoch 18/50 | train=0.8983 | val=0.9093
[student_k5] Epoch 19/50 | train=0.9072 | val=0.8994
[student_k5] Epoch 20/50 | train=0.9195 | val=0.9112
[student_k5] Epoch 21/50 | train=0.9205 | val=0.9132
[student_k5] Epoch 22/50 | train=0.9289 | val=0.9389
[student_k5] Epoch 23/50 | train=0.9388 | val=0.9586
[student_k5] Epoch 24/50 | train=0.9432 | val=0.9448
[student_k5] Epoch 25/50 | train=0.9496 | val=0.9487
[student_k5] Epoch 26/50 | train=0.9565 | val=0.9467
[student_k5] Epoch 27/50 | train=0.9486 | val=0.9606
[student_k5] Epoch 28/50 | train=0.9531 | val=0.9645
[student_k5] Epoch 29/50 | train=0.9531 | val=0.9665
[student_k5] Epoch 30/50 | train=0.9585 | val=0.9625
[student_k5] Epoch 31/50 | train=0.9590 | val=0.9546
[student_k5] Epoch 32/50 | train=0.9620 | val=0.9684
[student_k5] Epoch 33/50 | train=0.9664 | val=0.9645
[student_k5] Epoch 34/50 | train=0.9635 | val=0.9665
[student_k5] Epoch 35/50 | train=0.9694 | val=0.9704
[student_k5] Epoch 36/50 | train=0.9709 | val=0.9527
[student_k5] Epoch 37/50 | train=0.9659 | val=0.9744
[student_k5] Epoch 38/50 | train=0.9723 | val=0.9744
[student_k5] Epoch 39/50 | train=0.9669 | val=0.9724
[student_k5] Epoch 40/50 | train=0.9709 | val=0.9783
[student_k5] Epoch 41/50 | train=0.9728 | val=0.9684
[student_k5] Epoch 42/50 | train=0.9723 | val=0.9724
[student_k5] Epoch 43/50 | train=0.9733 | val=0.9783
[student_k5] Epoch 44/50 | train=0.9788 | val=0.9704
[student_k5] Epoch 45/50 | train=0.9753 | val=0.9744
[student_k5] Epoch 46/50 | train=0.9738 | val=0.9744
[student_k5] Epoch 47/50 | train=0.9768 | val=0.9704
[student_k5] Epoch 48/50 | train=0.9748 | val=0.9842
[student_k5] Epoch 49/50 | train=0.9763 | val=0.9744
[student_k5] Epoch 50/50 | train=0.9748 | val=0.9744
  Saved: ./models/snn1d_student_k5.pt (params=12516, 155.8KB)
[student_k7] Epoch 1/50 | train=0.4775 | val=0.4872
[student_k7] Epoch 2/50 | train=0.4998 | val=0.5089
[student_k7] Epoch 3/50 | train=0.5210 | val=0.5286
[student_k7] Epoch 4/50 | train=0.5378 | val=0.4951
[student_k7] Epoch 5/50 | train=0.5333 | val=0.4931
[student_k7] Epoch 6/50 | train=0.5807 | val=0.5661
[student_k7] Epoch 7/50 | train=0.6138 | val=0.5187
[student_k7] Epoch 8/50 | train=0.6632 | val=0.6943
[student_k7] Epoch 9/50 | train=0.7565 | val=0.7791
[student_k7] Epoch 10/50 | train=0.8272 | val=0.7890
[student_k7] Epoch 11/50 | train=0.8672 | val=0.8757
[student_k7] Epoch 12/50 | train=0.9096 | val=0.9172
[student_k7] Epoch 13/50 | train=0.9160 | val=0.9270
[student_k7] Epoch 14/50 | train=0.9348 | val=0.9389
[student_k7] Epoch 15/50 | train=0.9437 | val=0.9428
[student_k7] Epoch 16/50 | train=0.9477 | val=0.9546
[student_k7] Epoch 17/50 | train=0.9560 | val=0.9448
[student_k7] Epoch 18/50 | train=0.9620 | val=0.9625
[student_k7] Epoch 19/50 | train=0.9644 | val=0.9448
[student_k7] Epoch 20/50 | train=0.9674 | val=0.9625
[student_k7] Epoch 21/50 | train=0.9689 | val=0.9724
[student_k7] Epoch 22/50 | train=0.9659 | val=0.9684
[student_k7] Epoch 23/50 | train=0.9723 | val=0.9763
[student_k7] Epoch 24/50 | train=0.9684 | val=0.9744
[student_k7] Epoch 25/50 | train=0.9719 | val=0.9763
[student_k7] Epoch 26/50 | train=0.9723 | val=0.9783
[student_k7] Epoch 27/50 | train=0.9753 | val=0.9704
[student_k7] Epoch 28/50 | train=0.9768 | val=0.9724
[student_k7] Epoch 29/50 | train=0.9738 | val=0.9724
[student_k7] Epoch 30/50 | train=0.9778 | val=0.9704
[student_k7] Epoch 31/50 | train=0.9783 | val=0.9822
[student_k7] Epoch 32/50 | train=0.9709 | val=0.9783
[student_k7] Epoch 33/50 | train=0.9788 | val=0.9783
